OrderId,Order Date,Ship Date,Customer ID,Customer Name,Customer Segment,Product ID,Product Name,Category,Region,State,City,Quantity,Unit Price,Discount(%),Sales Amount,Cost Price,Profit,Payment Mode,Delivery Status,Supplier Name,Supplier Email,Stock Left,Auto Reorder,Reorder Quantity
ODR1000,12-01-2026,17-01-2026,CUST503,Jennifer Scott,Home Office,PROD7985,Monitor,Electronics,South,Minnesota,Lake Mark,9,1579,15,12079.35,8062.96,4016.39,UPI,Cancelled,Weber Group,carrolljessica@montoya.biz,47,No,0
ODR1001,15-07-2025,21-07-2025,CUST640,Stacey Nguyen,Consumer,PROD7562,Notebook,Office Supplies,South,Tennessee,Port Anthony,5,4567,0,22835,17090.24,5744.76,Cash,Delivered,"Anthony, Barrera and Ramos",michelle63@allison-brown.com,3,Yes,33
ODR1002,01-03-2025,04-03-2025,CUST492,James Rivera,Corporate,PROD1771,Juice Pack,Grocery,East,Massachusetts,Jennamouth,10,4459,5,42360.5,27912.52,14447.98,UPI,Returned,Fitzgerald and Sons,timothy08@sparks.com,29,No,0
ODR1003,20-07-2025,25-07-2025,CUST400,Nicholas Thompson,Consumer,PROD6803,Keyboard,Electronics,East,West Virginia,Lake Monica,4,1012,10,3643.2,3017.61,625.59,Net Banking,Returned,Garcia-Sutton,stephaniemoran@anderson.com,25,No,0
ODR1004,28-12-2025,31-12-2025,CUST668,Paul Thomas,Corporate,PROD7613,Cooking Oil,Grocery,West,Maryland,North Rebecca,1,190,10,171,127.36,43.64,UPI,Delivered,"Shelton, Burnett and Allen",velezjack@scott.biz,6,Yes,39
ODR1005,19-12-2024,20-12-2024,CUST448,Ian Keller,Corporate,PROD9010,Pen,Office Supplies,West,Massachusetts,Lake Alicialand,6,1323,0,7938,4998.3,2939.7,Net Banking,Returned,"Martinez, Aguilar and Perez",ochoamatthew@ford.com,47,No,0
ODR1006,17-09-2025,20-09-2025,CUST658,Jack Simpson,Consumer,PROD7318,Keyboard,Electronics,South,Oregon,Lisamouth,4,3406,20,10899.2,7599.25,3299.95,Cash,Pending,Mcintyre-Morgan,slopez@harris-thomas.com,19,No,0
ODR1007,19-05-2024,21-05-2024,CUST452,Heather Carr,Corporate,PROD2858,Headphones,Electronics,North,Colorado,Meaganfurt,9,4810,15,36796.5,23707.9,13088.6,Credit Card,Returned,"Wallace, Case and Medina",jasonbailey@bell.biz,14,No,0
ODR1008,08-02-2025,14-02-2025,CUST151,James Russo,Home Office,PROD1899,Mouse,Electronics,East,Iowa,Maldonadoland,2,462,20,739.2,465.09,274.11,Net Banking,Returned,"Green, Clark and Vargas",batesgeorge@coleman.com,7,Yes,30
ODR1009,11-03-2024,13-03-2024,CUST699,Shannon Padilla,Corporate,PROD8428,File Folder,Office Supplies,East,Washington,East Michaelton,3,4562,0,13686,11240.21,2445.79,Cash,Pending,Copeland-Dalton,kristen26@hamilton.com,0,Yes,29
ODR1010,11-01-2026,17-01-2026,CUST348,Helen Morales,Corporate,PROD2145,Monitor,Electronics,East,Wyoming,Carpenterport,2,871,5,1654.9,1232.17,422.73,Net Banking,Delivered,"Wise, Ramirez and Jackson",murraydouglas@burns-zimmerman.com,33,No,0
ODR1011,04-06-2025,07-06-2025,CUST111,Nicole Schmidt,Corporate,PROD7267,Calculator,Office Supplies,South,North Dakota,South Edward,3,3512,15,8955.6,7797.28,1158.32,Cash,Cancelled,Murray-Maldonado,christopher71@brown.com,14,No,0
ODR1012,15-06-2024,22-06-2024,CUST608,Nancy Flynn,Consumer,PROD9990,Stapler,Office Supplies,South,Nebraska,Blackfurt,6,2744,20,13171.2,9825.21,3345.99,Cash,Returned,Mitchell-Choi,karen09@allison.com,30,No,0
